sequence,elapsed_ms,type,direction,id,bytes,name,details,hex,marker
108,978,"RPC","IN",105,6,"TextDrawSetString","id=105 bytes=6 | TextDrawID=2088 length=2 text=""46""","28 08 02 00 34 36",""
109,978,"RPC","IN",105,5,"TextDrawSetString","id=105 bytes=5 | TextDrawID=2089 length=1 text=""2""","29 08 01 00 32",""
110,978,"RPC","IN",105,7,"TextDrawSetString","id=105 bytes=7 | TextDrawID=2090 length=3 text=""100""","2a 08 03 00 31 30 30",""
111,998,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 7e 00 00 00 06 2c 66 b0 e3 c4 49 d1 7b 67 1f 10 84 00 00 00 01 0e 83 94 00 00 00 00 00 01 28 00 04 11",""
112,998,"PACKET","OUT",207,69,"PlayerSync","id=207 bytes=69","cf 00 00 00 00 00 00 04 8d a0 c3 f8 22 27 45 ed 9c 7c 42 35 df 41 3f 00 00 00 80 00 00 00 00 7d 2e 27 bf 64 00 04 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 28 00 04 11",""
113,1024,"PACKET","IN",207,49,"PlayerSync","id=207 bytes=49","cf 5d 00 00 00 2f c2 a6 f0 db c5 09 d1 7b 67 1f 10 84 00 00 00 00 1b 0f e0 00 00 00 00 00 03 ff fe 00 00 00 00 00 00 00 00 00 00 00 01 00 00 00 80",""
114,1024,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf b2 00 00 00 01 e5 62 f0 f2 25 c9 91 76 5d 5e 90 84 00 00 00 00 94 12 80 00 00 00 00 00 01 28 00 04 11",""
115,1048,"PACKET","IN",207,49,"PlayerSync","id=207 bytes=49","cf ab 00 00 00 0a da a5 b0 d8 cd 09 d1 6c 24 9f 10 80 00 00 00 03 ef 77 c0 00 00 00 00 00 03 ff fe 00 00 00 00 00 00 00 00 00 00 00 01 28 00 04 11",""
116,1049,"PACKET","IN",203,34,"AimSync","id=203 bytes=34","cb ab 00 04 1f 96 4b 3f 18 c9 bc be 1d 67 f6 be 00 3f 97 c3 b9 40 27 45 be 7f 81 42 00 00 00 00 3f ff",""
117,1049,"RPC","IN",16,16,"PlaySound","id=16 bytes=16","42 51 00 00 00 00 00 00 00 00 00 00 00 00 00 00",""
118,1049,"RPC","IN",134,80,"ShowTextDraw","id=134 bytes=80","2c 08 11 9a 99 19 3f 00 00 00 40 1a ff 00 aa 33 33 23 42 00 00 a0 41 00 00 00 32 00 01 00 00 00 ff 04 00 00 00 59 43 00 00 b8 43 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 80 3f ff ff ff ff 0d 00 6c 64 5f 64 75 61 6c 3a 77 68 69 74 65",""
119,1049,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 85 00 00 00 27 4d 62 f0 cc e9 09 91 55 da de 90 84 00 00 00 00 1e 8d 80 00 00 00 00 00 01 28 00 04 11",""
120,1072,"RPC","IN",87,2,"ClearPlayerAnimation","id=87 bytes=2","63 00",""
121,1072,"RPC","IN",86,29,"ApplyPlayerAnimation","id=86 bytes=29","63 00 05 43 41 52 52 59 0b 63 72 72 79 5f 70 72 74 69 61 6c 33 33 83 40 00 00 00 00 00",""
122,1072,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 54 00 00 00 38 c3 63 30 ca de 89 91 59 1e de 90 84 00 00 00 01 da 3e c0 00 00 00 00 00 01 28 00 04 11",""
123,1099,"PACKET","IN",207,39,"PlayerSync","id=207 bytes=39","cf 76 00 83 80 7f bf c0 00 0e df e2 f0 d5 de 49 91 77 9d 1e 90 80 00 00 00 01 21 57 40 00 00 00 00 00 01 00 00 00 80",""
124,1100,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 27 00 00 00 32 0b 23 30 f3 e2 09 91 73 1f 1e 90 84 00 00 00 03 bf 3e 80 00 00 00 00 00 01 28 00 04 11",""
125,1100,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 76 00 8a 00 7e ff c0 00 26 df a2 f0 dc 1e 49 91 75 9d 1e 90 80 00 00 00 00 d9 8b 40 00 01 66 64 64 f1 a3 42 57 8f fd fd 00 00 00 80",""
126,1122,"RPC","IN",86,27,"ApplyPlayerAnimation","id=86 bytes=27","02 00 07 42 44 5f 46 49 52 45 07 77 61 73 68 5f 75 70 33 33 83 40 80 00 00 00 00",""
127,1122,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 1b 00 00 00 26 4a e3 30 df 1b c9 91 70 9f 1e 90 84 00 00 00 00 c6 de c0 00 00 00 00 00 01 28 00 04 11",""
128,1123,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 43 00 00 00 0a b5 62 f0 c0 68 49 91 71 de 1e 90 84 00 00 00 01 28 53 00 00 00 00 00 00 01 28 00 04 11",""
129,1123,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 76 00 91 80 7e 3f c0 00 39 df 62 f0 e1 9e 49 91 73 9d 1e 90 80 00 00 00 03 55 bb 40 00 01 16 64 64 f2 cb 69 43 6b fd fd 00 00 00 80",""
130,1123,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 76 00 96 80 7c ff c0 00 3c 1f 22 f0 e7 de 49 91 70 9d 1e 90 80 00 00 00 00 91 ef 40 00 00 b9 48 fc f3 9f 8c 0b 43 fd fd 00 00 00 80",""
131,1166,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 4f 00 00 00 23 be 26 b0 e1 f7 49 91 7b 67 1f 10 80 00 00 00 02 58 c5 c0 00 00 00 00 00 01 28 00 04 11",""
132,1166,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 76 00 9c 00 7b 7f c0 00 1e 1e a2 f0 f2 de 49 91 69 9d 1e 90 80 00 00 00 02 ba 2b 40 00 03 6b 51 dc f0 ef ca f2 e7 fd fd 00 00 00 80",""
133,1187,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 5e 00 00 00 38 a6 68 30 cb 04 89 d1 7b 67 1f 10 80 00 00 00 03 cb ff 40 00 00 00 00 00 01 28 00 04 11",""
134,1188,"PACKET","IN",203,34,"AimSync","id=203 bytes=34","cb 5e 00 04 07 4e 76 3f bf 93 89 be 99 03 3c bd 87 6f a2 c3 91 22 27 45 94 b6 7f 42 00 00 00 00 3f 3a",""
135,1188,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 76 00 9f 80 7a 3f c0 00 00 1e 62 f0 f8 1e 49 91 65 1d 1e 90 80 00 00 00 03 ce 3b 40 00 02 e2 61 e4 f2 43 d3 7a d3 fd fd 00 00 00 80",""
136,1214,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 46 00 00 00 1b 70 e6 b0 e7 7f 49 91 7b 67 1f 10 84 00 00 00 00 f1 9b c0 00 00 00 00 00 01 28 00 04 11",""
137,1215,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 76 00 a3 80 78 bf c0 00 3e 9d a2 f0 fe 9e 49 91 5f 5d 1e 90 80 00 00 00 03 26 4b 40 00 02 18 e6 a8 f2 57 d8 ae c3 fd fd 00 00 00 80",""
138,1215,"RPC","IN",87,2,"ClearPlayerAnimation","id=87 bytes=2","4f 00",""
139,1215,"RPC","IN",86,29,"ApplyPlayerAnimation","id=86 bytes=29","4f 00 05 43 41 52 52 59 0b 63 72 72 79 5f 70 72 74 69 61 6c 33 33 83 40 00 00 00 00 00",""
140,1215,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 02 00 00 00 21 de e2 b0 cc 69 09 91 7d 9a 1e 90 84 00 00 00 00 2c 23 80 00 00 00 00 00 01 28 00 04 11",""
