sequence,elapsed_ms,type,direction,id,bytes,name,details,hex,marker
536,2592,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 70 00 00 00 2a a3 e3 70 fe e5 c9 91 41 e3 5e 90 80 00 00 00 03 5b 53 00 00 00 00 00 00 01 00 00 00 80",""
537,2592,"PACKET","IN",207,43,"PlayerSync","id=207 bytes=43","cf 85 00 60 3f c0 00 12 61 e5 b0 de f4 09 91 6c 24 9f 10 80 00 00 00 01 2c 79 80 00 01 5b c3 d0 f4 52 79 a7 f3 fd fd c8 04 02 80",""
538,2592,"PACKET","IN",207,41,"PlayerSync","id=207 bytes=41","cf 92 00 00 00 1b cb 23 30 f1 d9 49 91 73 1f 1e 90 84 00 00 00 02 9b 21 c0 00 03 df ef c8 eb fd ff ff ff fd fd a5 04 04 80",""
539,2592,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 97 00 00 00 3d e7 a8 30 e5 89 c9 d1 7b 67 1f 10 84 00 00 00 00 0f 03 e8 00 00 00 00 00 01 28 00 04 11",""
540,2620,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 1a 00 dd 7f f7 7f c0 00 3f e2 ec 70 cf 89 c9 d1 77 82 a0 50 80 00 00 00 01 5c 41 80 00 02 bf 98 5c f5 a2 2d f3 ff fd fd c8 04 04 80",""
541,2621,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 1a 00 dd ff f6 ff c0 00 1d 62 ec 70 f1 09 c9 d1 64 82 60 50 80 00 00 00 03 5c 49 80 00 00 e9 a8 84 f5 3a 43 cf fb fd fd c8 04 04 80",""
542,2621,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 60 00 8b 00 60 bf c0 00 09 d5 69 b0 df 48 49 d1 60 b9 1e d0 84 00 00 00 00 ac 49 c0 00 02 35 ea e0 f5 69 bb 1b fb fd fd ac 04 64 80",""
543,2621,"PACKET","IN",203,34,"AimSync","id=203 bytes=34","cb 60 00 04 63 82 9b be 57 0c 73 3f a2 84 a3 bd 29 cd a5 c3 26 ec 26 45 10 69 7f 42 00 00 00 00 3f 36",""
544,2622,"PACKET","OUT",203,32,"AimSync","id=203 bytes=32","cb 00 00 00 39 05 00 00 00 00 00 00 00 00 00 00 00 40 01 00 00 00 80 3f 00 00 f3 04 b5 3f 39 05",""
545,2647,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 1a 00 de 7f f6 7f c0 00 33 62 ac 70 d4 4a 09 d1 4b 02 20 50 80 00 00 00 01 54 55 80 00 00 79 e4 a8 f7 26 4a 6f fb fd fd c8 04 04 80",""
546,2647,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 60 00 8a 80 60 bf c0 00 0e 15 e9 b0 d3 08 c9 d1 55 77 de d0 84 00 00 00 01 e8 49 c0 00 01 17 4e cc f7 7d b6 d3 fb fd fd ac 04 64 80",""
547,2647,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 1a 00 de ff f5 ff c0 00 03 22 ac 70 f8 4a 09 d1 6d 81 a0 50 80 00 00 00 03 38 5d 80 00 02 f7 a8 b4 f5 06 54 df fb fd fd c8 04 04 80",""
