sequence,elapsed_ms,type,direction,id,bytes,name,details,hex,marker
532,3047,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 60 00 00 00 01 5b 23 b0 d7 8c c9 91 41 6c 5e 90 84 00 00 00 03 e6 19 c0 00 00 00 00 00 01 fb 04 04 80",""
533,3047,"PACKET","IN",207,59,"PlayerSync","id=207 bytes=59","cf 70 00 8a 80 60 bf c2 00 39 b5 27 30 cf 60 49 91 67 d1 df 10 80 00 00 00 02 b2 a7 00 00 02 32 63 9c f7 23 fa 5a 47 fd ff ff fe 00 00 00 00 00 00 00 00 00 00 00 01 00 00 00 80",""
534,3047,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 55 00 00 00 3e e0 24 70 de 62 c9 91 5c e2 9f 90 84 00 00 00 02 61 2b c0 00 00 00 00 00 01 a8 04 04 18",""
535,3048,"PACKET","OUT",205,9,"UNKNOWN_PACKET","id=205 bytes=9","cd b8 4a 04 00 00 00 00 00",""
536,3072,"PACKET","IN",207,41,"PlayerSync","id=207 bytes=41","cf 53 00 00 00 2a a7 a8 30 f8 d8 09 d1 7a e7 1f 10 84 00 00 00 02 ba 42 c0 00 03 34 bb d0 e5 d4 2f be d3 fd fd a5 04 04 80",""
537,3072,"PACKET","IN",207,59,"PlayerSync","id=207 bytes=59","cf 70 00 8e 00 61 3f c2 00 0e af 67 30 e2 a0 49 91 5d 92 1f 10 80 00 00 00 01 4e bf 00 00 01 66 67 9c f6 53 fd 3a 2b fd ff ff fe 00 00 00 00 00 00 00 00 00 00 00 01 00 00 00 80",""
538,3073,"RPC","IN",87,2,"ClearPlayerAnimation","id=87 bytes=2","02 00",""
539,3073,"RPC","IN",86,29,"ApplyPlayerAnimation","id=86 bytes=29","02 00 05 43 41 52 52 59 0b 63 72 72 79 5f 70 72 74 69 61 6c 33 33 83 40 00 00 00 00 00",""
540,3073,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 54 00 00 00 05 77 63 70 c5 21 c9 91 65 24 1e 90 80 00 00 00 00 12 8e c0 00 00 00 00 00 01 28 00 04 11",""
541,3077,"PACKET","OUT",203,32,"AimSync","id=203 bytes=32","cb 00 00 00 39 05 00 00 00 00 00 00 00 00 00 00 00 40 01 00 00 00 80 3f 00 00 f3 04 b5 3f 39 05",""
542,3098,"PACKET","IN",207,59,"PlayerSync","id=207 bytes=59","cf 70 00 90 00 61 7f c2 00 25 ac 27 30 e8 e0 49 91 6f 92 1f 10 80 00 00 00 02 1e cb 00 00 01 4e 3f cc f7 03 ff ae 1f fd ff ff fe 00 00 00 00 00 00 00 00 00 00 00 01 00 00 00 80",""
