sequence,elapsed_ms,type,direction,id,bytes,name,details,hex,marker
1603,10892,"PACKET","IN",200,44,"VehicleSync","id=200 bytes=44","c8 28 00 29 00 80 ff 00 00 08 00 69 70 41 30 39 5b 7c e2 81 dc 3b 7b 72 44 55 b6 b7 e4 28 38 d1 f3 ff 5f f1 07 dd 88 06 40 7f 00 00",""
1604,10892,"PACKET","IN",203,34,"AimSync","id=203 bytes=34","cb 28 00 12 c2 e2 7e 3f 3a 59 2e bc 46 9f bd bd d0 44 26 c3 69 b9 24 45 2d b2 82 42 00 00 00 00 0f 36",""
1605,10892,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 63 00 00 00 35 85 e6 f0 f9 48 49 d1 7b 67 1f 10 84 00 00 00 03 a1 c6 00 00 00 00 00 00 01 a5 04 e8 80",""
1606,10892,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 46 00 00 00 14 32 e6 b0 ea bf 49 91 7b 67 1f 10 84 00 00 00 00 f1 9b c0 00 00 00 00 00 01 28 00 04 11",""
1607,10916,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 08 00 00 00 1b 53 e9 70 f6 4b 4a 91 5c bf de 90 84 00 00 00 01 db ff c0 00 0c 00 00 00 01 13 04 04 80",""
1608,10916,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 20 00 00 00 11 55 e5 b0 c2 d0 89 d1 6c e4 9f 10 80 00 00 00 02 72 8b c0 00 00 00 00 00 01 a5 04 04 80",""
1609,10916,"PACKET","IN",211,27,"PassengerSync","id=211 bytes=27","d3 97 00 29 00 01 00 64 4c 00 00 00 00 00 00 93 aa 1d c3 66 b1 24 45 d4 b2 7e 42",""
1610,10916,"PACKET","IN",200,44,"VehicleSync","id=200 bytes=44","c8 3c 00 47 00 00 00 00 00 20 00 29 90 04 40 5a 6f ed 4a 37 2c 3f d3 32 24 51 21 77 94 21 33 b0 a3 d6 06 66 1f d8 78 26 80 3a 00 50",""
1611,10942,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 83 00 00 00 03 66 a3 70 d0 20 49 91 77 21 9e 90 80 00 00 00 03 f2 9a 40 00 00 00 00 00 01 28 00 04 11",""
1612,10942,"PACKET","IN",203,34,"AimSync","id=203 bytes=34","cb 83 00 04 12 de ed 3d cd 2e 76 bf 58 6e 7e be 2d c2 8d c3 c5 aa 26 45 da 9b 7f 42 00 00 00 00 3f c6",""
1613,10942,"RPC","IN",87,2,"ClearPlayerAnimation","id=87 bytes=2","2d 00",""
1614,10942,"RPC","IN",86,29,"ApplyPlayerAnimation","id=86 bytes=29","2d 00 05 43 41 52 52 59 0b 63 72 72 79 5f 70 72 74 69 61 6c 33 33 83 40 00 00 00 00 00",""
1615,10942,"PACKET","IN",200,44,"VehicleSync","id=200 bytes=44","c8 28 00 29 00 00 00 00 00 08 00 6a d0 54 90 4a fb 59 1d e1 ac 38 2b 72 44 55 87 b7 e4 25 86 12 03 ff df fc 48 0e a8 06 40 7f 00 00",""
1616,10982,"RPC","IN",86,33,"ApplyPlayerAnimation","id=86 bytes=33","20 00 06 44 45 41 4c 45 52 0e 44 45 41 4c 45 52 5f 49 44 4c 45 5f 30 31 00 00 a0 40 60 00 00 00 00",""
1617,10982,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 08 00 00 00 03 93 a9 70 ec cb 0a 91 5c bf de 90 84 00 00 00 01 db ff c0 00 0c 00 00 00 01 13 04 04 80",""
1618,10982,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 0b 00 00 00 04 80 26 f0 c6 7c 89 91 7b 67 1f 10 84 00 00 00 02 c5 e7 c0 00 00 00 00 00 01 28 00 04 11",""
1619,10983,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 85 00 00 00 19 15 a5 b0 d1 07 09 d1 6c 24 9f 10 80 00 00 00 00 31 f1 80 00 00 00 00 00 01 28 00 04 11",""
1620,10983,"PACKET","IN",203,34,"AimSync","id=203 bytes=34","cb 85 00 04 46 60 3e 3e d4 7c 77 3f 00 cf 33 be ee 8a 96 c3 1e fa 26 45 05 43 80 42 00 00 00 00 3f c6",""
1621,10983,"PACKET","IN",211,27,"PassengerSync","id=211 bytes=27","d3 97 00 29 00 01 00 64 4c 00 00 00 00 00 00 02 1b 1b c3 4e b0 24 45 98 bf 7e 42",""
1622,11007,"RPC","IN",87,2,"ClearPlayerAnimation","id=87 bytes=2","7e 00",""
1623,11007,"RPC","IN",86,29,"ApplyPlayerAnimation","id=86 bytes=29","7e 00 05 43 41 52 52 59 0b 63 72 72 79 5f 70 72 74 69 61 6c 33 33 83 40 00 00 00 00 00",""
1624,11007,"RPC","IN",137,15,"ServerJoin","id=137 bytes=15","ab 00 00 00 00 00 00 07 59 75 64 69 73 73 73",""
1625,11008,"RPC","IN",72,6,"SetPlayerColor","id=72 bytes=6","ab 00 ff 83 7f 7f",""
1626,11008,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 2d 00 00 00 34 a7 e5 b0 d2 4e 89 d1 6c 24 9f 10 84 00 00 00 01 78 73 c0 00 00 00 00 00 01 a5 04 e8 80",""
1627,11008,"RPC","IN",86,27,"ApplyPlayerAnimation","id=86 bytes=27","4b 00 07 42 44 5f 46 49 52 45 07 77 61 73 68 5f 75 70 33 33 83 40 80 00 00 00 00",""
1628,11026,"PACKET","OUT",203,32,"AimSync","id=203 bytes=32","cb 00 00 00 39 05 00 00 00 00 00 00 00 00 00 00 00 40 01 00 00 00 80 3f 00 00 f3 04 b5 3f 39 05",""
1629,11029,"PACKET","IN",200,44,"VehicleSync","id=200 bytes=44","c8 28 00 29 00 00 00 00 00 08 00 66 d0 6e f0 48 6b 37 95 a1 8c 31 9b 82 44 57 99 07 e4 20 b9 22 13 ff 6f fa e8 22 38 16 40 7f 00 00",""
